,verb,sense_id,sense,sentence_id,sentence,seed,surprisal,temp
30,cast,cast.02,"name, assign a role",cast.02_1,the director cast the actresses ,42.0,30.90406036376953,0.8
31,cast,cast.03,make 3d reproductions from a mold,cast.03_1,the sculptor cast the statue ,42.0,37.632450103759766,0.8
32,cast,cast.04,bandage in plaster,cast.04_1,the doctor cast the brokenlegs ,42.0,38.16732406616211,0.8
33,launch,launch.01,"set off, introduce, bring up, start, take off",launch.01_1,the new launched the company ,42.0,58.19861602783203,0.8
34,catch,catch.01,get,catch.01_1,the ball caught the glove ,42.0,27.487985610961914,0.8
35,catch,catch.02,"come upon, find",catch.02_1,the police caught the criminal ,42.0,27.970901489257812,0.8
36,catch,catch.03,trap,catch.03_1,the police caught the bankrobbery ,42.0,37.21065902709961,0.8
37,fetch,fetch.01,bring (back),fetch.01_1,the dog fetched the stick ,42.0,20.962966918945312,0.8
38,clear,clear.01,"clean, make clear or open",clear.01_1,the windowpane cleared the foggy ,42.0,56.48524475097656,0.8
39,clear,clear.02,"approve, permit",clear.02_1,the judge cleared the case ,42.0,41.28688430786133,0.8
40,clear,clear.03,"escape, avoid, get past or through",clear.03_1,the suspect cleared the policewoman ,42.0,47.04130935668945,0.8
41,clean,clean.01,to free from dirt,clean.01_1,the housekeeper cleaned the bathroom ,42.0,26.669015884399414,0.8
42,cover,cover.01,"has responsibility for, handles, insures, accounts for",cover.01_1,the company covered the cost ,42.0,54.689971923828125,0.8
43,cover,cover.02,"smear, put over, spreading across",cover.02_1,the sunlight covered the entiretyoftheparkwithitsgoldentonesintheearlymorninghoursasitrosehigherandhigher,42.0,85.59713745117188,0.8
44,cover,cover.03,broadcast,cover.03_1,the media covered the trial ,42.0,26.92904281616211,0.8
45,coat,coat.01,"cover, apply something to a surface",coat.01_1,the paint coated the wall ,42.0,33.32525634765625,0.8
46,crash,crash.01,"to break, undergo damage, possibly producing a characteristic sound, possibly resulting in a sound",crash.01_1,the car crashed the wall ,42.0,28.13540267944336,0.8
47,crash,crash.02,"to enter uninvited, invite oneself in",crash.02_1,the man crashed the party ,42.0,25.33771514892578,0.8
48,crash,crash.04,"fall asleep heavily, maybe someplace other than home",crash.04_1,the baby crashed the moment ,42.0,46.186580657958984,0.8
49,chip,chip.01,break off small pieces,chip.01_1,the ice chipped the windshields ,42.0,38.5100212097168,0.8
50,draw,draw.01,"art, the action of illustrating/making pictures with a writing implement",draw.01_1,the artist drew the scene ,42.0,39.270320892333984,0.8
51,draw,draw.02,"pull, extract, withdraw",draw.02_1,the doctor drew the bloodsackingneedlefromtheneedleshoulderthepatientwhowaslyingontheoperatortableandput,42.0,82.6755142211914,0.8
52,draw,draw.05,brandish a weapon,draw.05_1,the man drew the pistol ,42.0,29.45423126220703,0.8
53,write,write.01,set pen to paper,write.01_1,the writer wrote the article ,42.0,39.22230529785156,0.8
54,drop,drop.01,"go down, cause to fall",drop.01_1,the water dropped the rockets ,42.0,78.07341766357422,0.8
55,drop,drop.05,"remove, end",drop.05_1,the company dropped the requirement ,42.0,29.518186569213867,0.8
56,drop,drop.06,"give, esp. names, mention in an offhand way",drop.06_1,the book dropped the names ,42.0,31.971208572387695,0.8
57,drop,drop.07,spend money,drop.07_1,the government dropped the equivalentof ,42.0,80.04940032958984,0.8
58,roll,roll.01,"move in circular fashion, onward rotational motion",roll.01_1,the wheels rolled the caravan ,42.0,52.321529388427734,0.8
59,fire,fire.01,fire a gun,fire.01_1,the police fired the maniac ,42.0,48.13523864746094,0.8
60,fire,fire.02,cause to cease employment,fire.02_1,the company fired the workers ,42.0,24.9988956451416,0.8
61,fire,fire.03,cause to burn or bake,fire.03_1,the fire fired the logs ,42.0,37.4197998046875,0.8
62,fire,fire.04,fuel or ignite,fire.04_1,the fire fired the stove ,42.0,30.423986434936523,0.8
63,sack,sack.01,cause defeat in by terminating employment or otherwise pillaging/ conquering,sack.01_1,the company sacked the presidentiallyappointedheadofthemilitaryandbeganmilitarilyoccupyingthecountrywithitsar,42.0,91.98014831542969,0.8
64,fold,fold.01,mix ingredients gently,fold.01_1,the cake folded the eggs ,42.0,65.06407928466797,0.8
65,fold,fold.02,fold hands,fold.02_1,the children folded the hands ,42.0,30.08913230895996,0.8
66,fold,fold.03,origami,fold.03_1,the origami folded the paper ,42.0,42.067073822021484,0.8
67,fold,fold.06,(terminate) a failing business,fold.06_1,the company folded the plantation ,42.0,50.619720458984375,0.8
68,stretch,stretch.01,"extend, lengthen",stretch.01_1,the muscles stretched the fabric ,42.0,50.96099853515625,0.8
69,hack,hack.01,chop sloppily,hack.01_1,the butcher hacked the meat ,42.0,23.743030548095703,0.8
70,hack,hack.03,remove pieces,hack.03_1,the carpenter hacked the woodwork ,42.0,34.53822326660156,0.8
71,hack,hack.04,"computer work, breaking into, as on a computer",hack.04_1,the hacker hacked the governmental ,42.0,37.00840759277344,0.8
72,hack,hack.06,"succeed, manage",hack.06_1,the team hacked the competition ,42.0,28.65858268737793,0.8
73,chop,chop.01,"cut up, (attempt to) cut with a chopping motion",chop.01_1,the police chopped the carrot ,42.0,39.12618637084961,0.8
74,hit,hit.01,strike,hit.01_1,the car hit the tree ,42.0,34.8084716796875,0.8
75,hit,hit.02,"reach, encounter",hit.02_1,the ball hit the windowpane ,42.0,26.77035903930664,0.8
76,hit,hit.03,"go to, turn to",hit.03_1,the road hit the intersection ,42.0,27.45903968811035,0.8
77,kick,kick.01,drive or impel with the foot,kick.01_1,the ball kicked the boyfriendlysoccerplayerinthenoseandthattouchdownwasallhisfault ,42.0,79.57160186767578,0.8
78,kill,kill.01,"cause to die, murder",kill.01_1,the man killed the fly ,42.0,26.291671752929688,0.8
79,kill,kill.03,"do well, win, accomplish some task",kill.03_1,the team killed the competition ,42.0,25.645977020263672,0.8
80,kill,kill.04,pass the time by engaging in some activity,kill.04_1,the movie killed the afternoon ,42.0,28.573974609375,0.8
81,murder,murder.01,cause to die,murder.01_1,the murderer murdered the victim ,42.0,24.952205657958984,0.8
82,know,know.01,"be cognizant of, realize",know.01_1,the teacher knew the answer ,42.0,45.33214569091797,0.8
83,know,know.02,kennen,know.02_1,the dog knew the owner ,42.0,32.23157501220703,0.8
84,know,know.03,"have an ability, skill, or know-how",know.03_1,the man knew the language ,42.0,32.97151565551758,0.8
85,know,know.04,"recognize, differentiate",know.04_1,the dog knew the stranger ,42.0,28.771385192871094,0.8
86,know,know.05,"Biblical sense, to have sex with",know.05_1,the bible knew the whorehouse ,42.0,66.29356384277344,0.8
87,understand,understand.01,"understand, comprehending",understand.01_1,the boy understood the words ,42.0,41.867332458496094,0.8
88,meet,meet.01,"arrive at, achieve",meet.01_1,the train met the station ,42.0,41.68772888183594,0.8
89,meet,meet.02,"kennenlernen-- come upon, become acquainted with initially",meet.02_1,the two met the day ,42.0,61.30613327026367,0.8
90,meet,meet.03,"get together (with), come together spatially, get together",meet.03_1,the two met the two ,42.0,59.2982177734375,0.8
91,meet,meet.05,"answer, respond to",meet.05_1,the two met the challenge ,42.0,33.149513244628906,0.8
92,encounter,encounter.01,to meet unexpectedly,encounter.01_1,the two encountered the same ,42.0,62.865196228027344,0.8
93,pass,pass.01,bill becomes law,pass.01_1,the bill passed the legislature ,42.0,25.060619354248047,0.8
94,pass,pass.02,overtake,pass.02_1,the car passed the bicycle ,42.0,24.496173858642578,0.8
95,pass,pass.04,allow to go by,pass.04_1,the train passed the trucks ,42.0,31.780433654785156,0.8
96,pass,pass.05,give,pass.05_1,the teacher passed the student ,42.0,37.766517639160156,0.8
97,pass,pass.08,push through a passage (like a clot),pass.08_1,the virus passed the bloodstream ,42.0,34.11027145385742,0.8
98,toss,toss.01,"throw randomly or toss dough, glances, throw randomly, throwing, perhaps underhand or casually",toss.01_1,the pitcher tossed the ball ,42.0,37.3133430480957,0.8
99,pinch,pinch.01,squeeze tightly to cause pain,pinch.01_1,the man pinched the boyfriend ,42.0,35.745460510253906,0.8
100,pinch,pinch.02,slangy steal,pinch.02_1,the kid pinched the money ,42.0,44.3037109375,0.8
101,pinch,pinch.04,be miserly,pinch.04_1,the boss pinched the money ,42.0,30.320941925048828,0.8
102,pinch,pinch.05,arrest or capture,pinch.05_1,the police pinched the suspects ,42.0,27.58884048461914,0.8
103,grab,grab.01,"to capture, obtain, taking hold of",grab.01_1,the thief grabbed the wallet ,42.0,25.11272621154785,0.8
104,pitch,pitch.01,throw,pitch.01_1,the pitcher pitched the ball ,42.0,21.565969467163086,0.8
105,pitch,pitch.02,set a musical tone,pitch.02_1,the piano pitched the same ,42.0,44.321346282958984,0.8
106,pitch,pitch.04,advertise in strongly positive terms,pitch.04_1,the company pitched the product ,42.0,29.383953094482422,0.8
107,chuck,chuck.01,"to throw, give up",chuck.01_1,the man chucked the dice ,42.0,30.5772705078125,0.8
108,post,post.01,"cf report, put up for public view",post.01_1,the postmaster posted the letterboxes ,42.0,35.46195602416992,0.8
109,post,post.02,tell someone news as it comes in,post.02_1,the reporter posted the story ,42.0,41.123382568359375,0.8
110,post,post.03,"assign to a post, station somewhere",post.03_1,the general posted the soldiers ,42.0,29.401256561279297,0.8
111,post,post.04,send via the postal service,post.04_1,the letter posted the nextday ,42.0,39.398773193359375,0.8
112,mail,mail.01,send,mail.01_1,the mailman mailed the letters ,42.0,25.700618743896484,0.8
113,push,push.01,(try to) cause motion,push.01_1,the wind pushed the door ,42.0,36.291622161865234,0.8
114,push,push.02,"force, impelled action",push.02_1,the police pushed the caravaners ,42.0,41.78052520751953,0.8
115,push,push.04,"advocate or advertise, advocate",push.04_1,the company pushed the product ,42.0,34.884029388427734,0.8
116,shove,shove.01,push harshly,shove.01_1,the man shoved the child ,42.0,26.193645477294922,0.8
117,reach,reach.01,"arrive at an end state, outcome or destination, get to, attain",reach.01_1,the train reached the station ,42.0,36.36469268798828,0.8
118,reach,reach.02,get in contact with (often over the phone),reach.02_1,the company reached the customer ,42.0,42.09224319458008,0.8
119,reach,reach.03,"stretch, grasp, move (as if a limb) outwards toward a goal",reach.03_1,the child reached the prize ,42.0,42.1363525390625,0.8
120,phone,phone.01,to telephone,phone.01_1,the police phoned the parents ,42.0,30.075355529785156,0.8
121,recall,recall.01,manufactured defect,recall.01_1,the car recalled the manufacturer ,42.0,55.359832763671875,0.8
122,recall,recall.02,remember,recall.02_1,the witnesses recalled the details ,42.0,46.04520034790039,0.8
123,recall,recall.03,ask or order to go/come back,recall.03_1,the boss recalled the employee ,42.0,24.78131675720215,0.8
124,remove,remove.01,remove,remove.01_1,the verb removed the subject ,42.0,56.36651611328125,0.8
125,save,save.01,keep from spending,save.01_1,the company saved the money ,42.0,61.60887908935547,0.8
126,save,save.02,desperate peril sense,save.02_1,the ship saved the crewmen ,42.0,49.06940841674805,0.8
127,save,save.03,"collect, accrue, save up (non phrasal, though)",save.03_1,the money saved the family ,42.0,59.715065002441406,0.8
128,earn,earn.01,wages,earn.01_1,the average earned the righttostrikebyworkingthereforthreeyearsstraightwithoutafullweekofforvacationtimeandbeing,42.0,108.76535034179688,0.8
129,see,see.01,view,see.01_1,the man saw the beautifully ,42.0,48.329463958740234,0.8
130,see,see.04,ensure,see.04_1,the police saw the criminality ,42.0,41.33232498168945,0.8
131,see,see.05,date casually,see.05_1,the two saw the movie ,42.0,47.589927673339844,0.8
132,see,see.09,visit/consultation by medical professional,see.09_1,the doctor saw the patient ,42.0,22.781856536865234,0.8
133,sense,sense.01,perceive,sense.01_1,the cat sensed the danger ,42.0,26.80279541015625,0.8
134,set,set.01,"put, place",set.01_1,the cat set the mouseletterboxesettingupaforgettablehaircutsetthesmallestfishfreeinthisseashellbow,42.0,120.08110046386719,0.8
135,set,set.02,establish,set.02_1,the government set the price ,42.0,27.773147583007812,0.8
136,set,set.08,"make ready, assign a task to, ready for action",set.08_1,the teacher set the examination ,42.0,28.885177612304688,0.8
137,set,set.14,"make ready, prepare",set.14_1,the sun set the stage ,42.0,31.207962036132812,0.8
138,place,place.01,put in a location,place.01_1,the police placed the criminalisticallylyyuuuuuuuuuuuuuuuuuuuuuuu,42.0,62.710391998291016,0.8
139,shoot,shoot.01,propel projectile,shoot.01_1,the gunshot shot the bullet ,42.0,28.646831512451172,0.8
140,shoot,shoot.02,kill with gun,shoot.02_1,the police shot the thief ,42.0,24.14093780517578,0.8
141,shoot,shoot.03,record on film,shoot.03_1,the director shot the scene ,42.0,35.300575256347656,0.8
142,shoot,shoot.06,move very rapidly,shoot.06_1,the bullet shot the windowpane ,42.0,73.89805603027344,0.8
143,stab,stab.01,"poke with sharp object, perhaps fatally, metaphorically try something",stab.01_1,the knife stabbed the meatloaf ,42.0,52.27857208251953,0.8
144,mock,mock.01,make fun of,mock.01_1,the students mocked the teacher ,42.0,24.80829429626465,0.8
145,permit,permit.01,"permit, let, allow",permit.01_1,the manager permitted the employee ,42.0,41.50459671020508,0.8
146,battle,battle.01,fight (with),battle.01_1,the two battled the entire ,42.0,45.338836669921875,0.8
147,bump,bump.01,hit gently,bump.01_1,the car bumped the othercar ,42.0,35.156768798828125,0.8
148,bump,bump.02,move slightly,bump.02_1,the car bumped the curb ,43.0,26.21216583251953,0.8
149,clip,clip.01,"to cut, cut off, or cut out",clip.01_1,the clipper clipped the coupons ,42.0,31.520557403564453,0.8
150,clip,clip.03,hit very slightly on the edge,clip.03_1,the ball clipped the edgeofthebatandwentflyingovertheheadoftheopposingpitcherintotheoutfieldwhereitwas,42.0,65.26337432861328,0.8
151,tear,tear.01,"to pull apart, separate forcefully",tear.01_1,the paper tore the envelope ,42.0,32.195068359375,0.8
152,tear,tear.02,"to rush, move hurriedly, rushing",tear.02_1,the crowd tore the building ,42.0,31.02224349975586,0.8
153,arrange,arrange.01,build,arrange.01_1,the company arranged the newest ,42.0,45.60585021972656,0.8
154,drive,drive.01,drive or be driven around in a vehicle,drive.01_1,the driver drove the passengers ,42.0,27.388702392578125,0.8
155,drive,drive.02,"cause to move or become, impelled, inspired",drive.02_1,the wind drove the clouds ,42.0,26.11423683166504,0.8
156,order,order.01,impelled action,order.01_1,the orderly ordered the troops ,42.0,53.74237823486328,0.8
157,order,order.02,request to be delivered,order.02_1,the waiter ordered the meal ,42.0,27.016233444213867,0.8
158,drain,drain.01,"unfill, empty",drain.01_1,the bathroom drained the waterloggedness ,42.0,47.23501968383789,0.8
159,line,line.01,"provide a lining, accompany in line-like fashion",line.01_1,the shirts lined the drawers ,42.0,34.991024017333984,0.8
160,line,line.03,puts lines on,line.03_1,the linebacker lined the quarterback ,42.0,29.6294002532959,0.8
161,split,split.01,"divide, separate",split.01_1,the legislature split the bill ,42.0,42.520450592041016,0.8
162,split,split.02,"leave, depart",split.02_1,the two split the bill ,42.0,31.715770721435547,0.8
163,design,design.01,design,design.01_1,the designer designed the car ,42.0,25.967823028564453,0.8
164,bounce,bounce.01,"boing boing boing,",bounce.01_1,the ball bounced the ball ,42.0,65.78994750976562,0.8
165,dismiss,dismiss.01,"remove, release",dismiss.01_1,the judge dismissed the charges ,42.0,24.13573455810547,0.8
166,dismiss,dismiss.02,label contemptuously,dismiss.02_1,the judge dismissed the defense ,42.0,29.93375587463379,0.8
167,shrink,shrink.01,become or make smaller,shrink.01_1,the iceberg shrank the size ,42.0,74.70645141601562,0.8
168,scratch,scratch.02,"cut shallowly, rake the surface sharply",scratch.02_1,the cat scratched the chair ,42.0,27.053173065185547,0.8
169,scratch,scratch.04,search,scratch.04_1,the police scratched the whole ,42.0,42.760009765625,0.8
170,smash,smash.01,break violently,smash.01_1,the window smashed the glasses ,42.0,37.5123291015625,0.8
171,butcher,butcher.01,cut up meat for sale,butcher.01_1,the butchered butchered the meat ,42.0,68.73744201660156,0.8
172,recognize,recognize.01,applaud/give accolades to,recognize.01_1,the audience recognized the starlet ,42.0,30.654130935668945,0.8
173,recognize,recognize.02,acknowledge as true/familiar,recognize.02_1,the police recognized the maniacallylaughingclownfromthelastvideostoryasbeingtheonewhoenteredtheshopand,42.0,91.92510986328125,0.8
174,discover,discover.01,find (out),discover.01_1,the police discovered the body ,42.0,42.59907531738281,0.8
175,throw,throw.01,"throw, sending through the air, manually, projection of an object through space",throw.01_1,the boy threw the ball ,42.0,22.34922218322754,0.8
176,throw,throw.03,hold,throw.03_1,the cat threw the ball ,42.0,40.16136932373047,0.8
177,steal,steal.01,to commit theft,steal.01_1,the thief stole the wallet ,42.0,24.617164611816406,0.8
178,slam,slam.01,throw violently,slam.01_1,the door slammed the door ,42.0,54.1955451965332,0.8
179,slam,slam.02,hit hard,slam.02_1,the door slammed the doorway ,43.0,36.82637405395508,0.8
180,deliver,deliver.01,"give, send",deliver.01_1,the package delivered the nextday ,42.0,40.73698425292969,0.8
181,deliver,deliver.101,"give birth, assist in giving birth, giving birth or assisting in giving birth",deliver.101_1,the midwife delivered the baby ,42.0,21.663368225097656,0.8
182,carry,carry.01,"bring with, have",carry.01_1,the waiter carried the dishes ,42.0,28.759309768676758,0.8
183,find,find.01,discovery,find.01_1,the scientists found the cure ,42.0,29.209423065185547,0.8
184,find,find.02,adjudge,find.02_1,the jury found the defendant ,42.0,32.82823181152344,0.8
185,discharge,discharge.01,"remove supply, as with electricity",discharge.01_1,the battery discharged the energy ,42.0,31.253429412841797,0.8
186,discharge,discharge.101,"to release, release from a location (not stuff being released itself)",discharge.101_1,the police discharged the prisoner ,42.0,39.33191680908203,0.8
187,secure,secure.01,get,secure.01_1,the police secured the suspects ,42.0,28.895591735839844,0.8
188,secure,secure.02,"make secure, literally or figuratively",secure.02_1,the police secured the perimeter ,42.0,26.978239059448242,0.8
189,notice,notice.01,become aware of,notice.01_1,the dog noticed the cat ,42.0,27.38824462890625,0.8
190,mount,mount.01,intentional climber,mount.01_1,the mountaineer mounted the mountainous ,42.0,44.517452239990234,0.8
191,mount,mount.03,"erect, construct",mount.03_1,the towering mounted the castle ,42.0,60.39424133300781,0.8
192,poison,poison.01,"kill via poison, kill or make sick via poison",poison.01_1,the king poisoned the queen ,42.0,26.041282653808594,0.8
193,poison,poison.02,put poison on/in something,poison.02_1,the witch poisoned the wells ,42.0,31.285133361816406,0.8
194,abuse,abuse.01,"mistreat a person or animal, often repeatedly, with violence or with cruelty",abuse.01_2,the man abused the dog ,43.0,25.729469299316406,0.8
195,abuse,abuse.02,use (something) to bad effect or for a bad purpose,abuse.02_2,the abuseof abused the drugtoaidhisstudiesfellasleepduringclassandfailedhisexamsandexaminedid,43.0,116.5906982421875,0.8
196,abuse,abuse.03,use offending language,abuse.03_2,the man abused the woman ,43.0,26.363317489624023,0.8
197,insult,insult.01,"call names, disparaging",insult.01_2,the man insulted the woman ,43.0,25.286479949951172,0.8
198,allow,allow.01,let,allow.01_2,the teacher allowed the students ,43.0,37.329681396484375,0.8
199,allow,allow.02,allocate,allow.02_2,the government allowed the summiters ,43.0,55.900482177734375,0.8
200,allow,allow.03,admit truth of proposition,allow.03_2,the president allowed the billions ,45.0,55.10248565673828,0.8
201,approve,approve.01,assent to,approve.01_2,the board approved the proposal ,43.0,24.12899398803711,0.8
202,beat,beat.01,strike,beat.01_2,the police beat the suspects ,43.0,28.45687484741211,0.8
203,beat,beat.02,(cause) pulsating motion that often makes sound,beat.02_2,the waves beat the shore ,43.0,24.30324935913086,0.8
204,beat,beat.03,win over some competitor,beat.03_2,the team beat the other ,43.0,35.162925720214844,0.8
205,slap,slap.01,hit with a flat object,slap.01_2,the slapstick slapped the clownishly ,43.0,71.86500549316406,0.8
206,belt,belt.01,sing loudly and forcefully,belt.01_2,the choir belted the hymnalistically ,43.0,44.15391540527344,0.8
207,belt,belt.02,"deliver a blow to, possibly with a belt",belt.02_2,the boxer belted the referee ,43.0,25.739835739135742,0.8
208,belt,belt.03,fasten with a belt,belt.03_2,the man belted the woman ,43.0,26.763906478881836,0.8
209,button,button.01,fasten the buttons on,button.01_2,the buttoning buttoned the shirt ,43.0,72.24855041503906,0.8
210,break,break.01,"break, cause to not be whole",break.01_2,the window broke the windshield ,43.0,30.303104400634766,0.8
211,break,break.13,"happen, come to light, onset, beginning",break.13_2,the war broke the daylighting ,43.0,41.874210357666016,0.8
212,break,break.16,separate one entity from another,break.16_2,the glass broke the windowpane ,43.0,29.405780792236328,0.8
213,break,break.18,"violate (the law, an oath, trust, etc)",break.18_2,the president broke the law ,43.0,26.882221221923828,0.8
214,burn,burn.01,(cause to) be on fire,burn.01_2,the building burned the carpeting ,45.0,81.45437622070312,0.8
215,box,box.01,"to store in a box, put in a box to store",box.01_2,the books boxed the other ,43.0,48.554527282714844,0.8
216,box,box.02,"enclosing (/being enclosed), forming an enclosure",box.02_2,the boxed boxed the boxed ,43.0,48.40385437011719,0.8
217,box,box.03,"fight, boxing style",box.03_2,the boxer boxed the other ,43.0,38.709014892578125,0.8
218,fight,fight.01,fight,fight.01_2,the two fought the war ,43.0,33.07923889160156,0.8
219,build,build.01,construct,build.01_2,the company built the building ,43.0,39.20392608642578,0.8
220,build,build.02,grow,build.02_2,the tree built the bark ,43.0,62.859413146972656,0.8
221,build,build.03,include,build.03_2,the newest built the same ,43.0,85.19867706298828,0.8
222,shape,shape.01,shape,shape.01_2,the shape shaped the waywardness ,43.0,48.3854866027832,0.8
223,cast,cast.01,"throw outward, throw (dice, fishing lines, shadows)",cast.01_2,the sun cast the shadowy ,43.0,38.50596237182617,0.8
224,cast,cast.02,"name, assign a role",cast.02_2,the director cast the lead ,43.0,36.058326721191406,0.8
225,cast,cast.03,make 3d reproductions from a mold,cast.03_2,the sculptor cast the busts ,43.0,42.821964263916016,0.8
226,cast,cast.04,bandage in plaster,cast.04_2,the doctor cast the broken ,43.0,36.83048629760742,0.8
227,launch,launch.01,"set off, introduce, bring up, start, take off",launch.01_2,the newest launched the latest ,43.0,62.3707275390625,0.8
228,catch,catch.01,get,catch.01_2,the ball caught the player ,43.0,27.169879913330078,0.8
229,catch,catch.02,"come upon, find",catch.02_2,the thief caught the policeman ,43.0,39.51932144165039,0.8
230,catch,catch.03,trap,catch.03_2,the police caught the thiefs ,43.0,29.13677978515625,0.8
231,fetch,fetch.01,bring (back),fetch.01_2,the dog fetched the ball ,43.0,20.26209259033203,0.8
232,clear,clear.01,"clean, make clear or open",clear.01_2,the water cleared the glasses ,43.0,36.03065490722656,0.8
233,clear,clear.02,"approve, permit",clear.02_2,the president cleared the bill ,43.0,27.185325622558594,0.8
234,clear,clear.03,"escape, avoid, get past or through",clear.03_2,the car cleared the intersection ,43.0,39.99759292602539,0.8
235,clean,clean.01,to free from dirt,clean.01_2,the cleaningwoman cleaned the house ,43.0,32.411170959472656,0.8
236,cover,cover.01,"has responsibility for, handles, insures, accounts for",cover.01_2,the manager covered the storefronts ,43.0,52.28314208984375,0.8
237,cover,cover.02,"smear, put over, spreading across",cover.02_2,the paint covered the wall ,43.0,23.04749298095703,0.8
238,cover,cover.03,broadcast,cover.03_2,the news covered the story ,43.0,42.3798828125,0.8
239,coat,coat.01,"cover, apply something to a surface",coat.01_2,the word coated the woodstove ,45.0,53.83637237548828,0.8
240,crash,crash.01,"to break, undergo damage, possibly producing a characteristic sound, possibly resulting in a sound",crash.01_2,the car crashed the gatepost ,43.0,30.583032608032227,0.8
241,crash,crash.02,"to enter uninvited, invite oneself in",crash.02_2,the door crashed the party ,43.0,30.051841735839844,0.8
242,crash,crash.04,"fall asleep heavily, maybe someplace other than home",crash.04_2,the baby crashed the car ,43.0,44.19426727294922,0.8
243,chip,chip.01,break off small pieces,chip.01_2,the chips chipped the paintwork ,43.0,37.38437271118164,0.8
244,draw,draw.01,"art, the action of illustrating/making pictures with a writing implement",draw.01_2,the artist drew the picture ,43.0,24.76227569580078,0.8
245,draw,draw.02,"pull, extract, withdraw",draw.02_2,the water drew the fisherman ,43.0,37.00237274169922,0.8
246,draw,draw.05,brandish a weapon,draw.05_2,the man drew the gun ,43.0,28.139572143554688,0.8
247,write,write.01,set pen to paper,write.01_2,the writer wrote the book ,43.0,26.311931610107422,0.8
248,drop,drop.01,"go down, cause to fall",drop.01_2,the water dropped the apple ,43.0,76.4781494140625,0.8
249,drop,drop.05,"remove, end",drop.05_2,the company dropped the project ,43.0,26.51858901977539,0.8
250,drop,drop.06,"give, esp. names, mention in an offhand way",drop.06_2,the name dropped the following ,43.0,50.9750862121582,0.8
251,drop,drop.07,spend money,drop.07_2,the company dropped the equivalent ,43.0,59.63632583618164,0.8
252,roll,roll.01,"move in circular fashion, onward rotational motion",roll.01_2,the wheel rolled the carrier ,43.0,50.87507629394531,0.8
253,fire,fire.01,fire a gun,fire.01_2,the police fired the warning ,43.0,31.934513092041016,0.8
