verb,sense,sense_id,sentence_id,sentence,seed,surprisal
button,the act of pressing a button,button1,button1_1,the buttoning buttoned the shirt ,42.0,45.02704620361328
cast,to throw or project something,cast1,cast1_1,the boy cast the stone ,42.0,27.231067657470703
cast,to assign a role or part to someone,cast2,cast2_1,the director cast the actresses ,42.0,41.9788932800293
cast,to vote or elect someone,cast3,cast3_1,the people cast the votes ,42.0,28.24957847595215
cast,to shape or form something using a mold or a cast,cast4,cast4_1,the sculptor cast the bronze ,42.0,36.23542022705078
cast,to predict or prophesy something,cast5,cast5_1,the weather cast the next ,42.0,48.03936767578125
catch,seize or take hold of something physically,catch1,catch1_1,the cat caught the mouse ,42.0,22.929664611816406
catch,"identify or detect something, such as an error or a mistake",catch2,catch2_1,the computer caught the typographicalerrorinmyreport ,42.0,45.43448257446289
catch,prevent or stop something from happening or continuing,catch3,catch3_1,the police caught the burglar ,42.0,27.500761032104492
catch,"obtain or acquire something, such as a disease or an emotion",catch4,catch4_1,the flu caught the patient ,42.0,32.7552375793457
catch,"experience or undergo something, such as a feeling or a situation",catch5,catch5_1,the child caught the measles ,42.0,30.592615127563477
chip,the act of breaking or cracking something into small pieces especially a hard or brittle substance,chip1,chip1_1,the chips chipped the windshields ,42.0,41.498130798339844
chop,to cut or slice something using a sharp instrument such as a knife or axe,chop1,chop1_1,the butcher chopped the meat ,42.0,38.59366989135742
chuck,to throw or hurl something away or out of ones hand or from a place,chuck1,chuck1_1,the man chucked the bottlecap ,42.0,48.924224853515625
clean,to remove dirt stains or impurities from a surface or object using a cleaning agent water or other means,clean1,clean1_1,the carpenter cleaned the woodwork ,42.0,30.87969207763672
clear,to remove something that is blocking or obscuring the view or understanding of something else,clear1,clear1_1,the fog cleared the skyline ,42.0,35.15885925292969
coat,to cover or layer something with a substance such as paint varnish or a protective coating,coat1,coat1_1,the painter coated the wallpapered ,42.0,39.63547897338867
cover,protect or shield,cover1,cover1_1,the police covered the housekeepers ,42.0,51.47837829589844
cover,conceal or hide,cover2,cover2_1,the cat covered the birdseed ,42.0,33.1898078918457
cover,enclose or surround,cover3,cover3_1,the city covered the valley ,42.0,30.120296478271484
cover,touch or reach,cover4,cover4_1,the book covered the tabletop ,42.0,36.21717834472656
cover,prevent or hinder,cover5,cover5_1,the rain covered the leaves ,42.0,28.932653427124023
cover,provide for,cover6,cover6_1,the government covered the costs ,42.0,28.733383178710938
crash,"to collide violently, especially with a loud noise",crash1,crash1_1,the train crashed the buffers ,42.0,30.524005889892578
crash,"to cause something to fail or malfunction, often suddenly and unexpectedly",crash2,crash2_1,the computer crashed the otherday ,42.0,38.990760803222656
crash,to overwhelm or overpower someone emotionally or physically,crash3,crash3_1,the news crashed the senator ,42.0,34.169647216796875
crash,to cause a party or event to fail or end prematurely,crash4,crash4_1,the band crashed the promenade ,42.0,33.17829895019531
crash,to cause a stock market or financial system to collapse or experience a sudden and significant decline,crash5,crash5_1,the recent crashed the priceofcopperindex ,42.0,62.5627555847168
draw,"draw as in ""to pull or drag something""",draw1,draw1_1,the horse drew the carriage ,42.0,21.706090927124023
draw,"draw as in ""to create a picture or diagram""",draw2,draw2_1,the artist drew the design ,42.0,27.037216186523438
draw,"draw as in ""to attract or entice someone""",draw3,draw3_1,the movie drew the largestcrowdofanyotherfilmthatweekendandthecriticswereimpressedwithitsmeritsoverall,42.0,118.63819885253906
draw,"draw as in ""to involve or engage someone in a situation""",draw4,draw4_1,the movie drew the entiretyofmyattention ,42.0,51.88965606689453
draw,"draw as in ""to take or receive something, such as a prize or reward""",draw5,draw5_1,the winner drew the jackpot ,42.0,27.11344337463379
drop,drop (something) off,drop1,drop1_1,the driver dropped the passenger ,42.0,40.38715744018555
drop,drop (something) off a list or schedule,drop2,drop2_1,the company dropped the planeside ,42.0,58.392337799072266
drop,drop (something) on someone or something,drop3,drop3_1,the ball dropped the pitcher ,42.0,33.704505920410156
drop,drop (something) in (a place),drop4,drop4_1,the cat dropped the mouse ,42.0,28.337993621826172
drop,drop (something) on (a place),drop5,drop5_1,the cat dropped the ballonxerxesriseofanempirexvidmeganixerxesriseofanempirexvide,43.0,77.07252502441406
drop,drop (something) with (a person or thing),drop6,drop6_1,the cat dropped the ball ,42.0,39.439796447753906
earn,to gain or receive something in return for ones efforts or services,earn1,earn1_1,the teacher earned the respectsandtrustofherstudentsbecauseherteachingswereinvaluableforthemandalsotheylo,42.0,89.97087860107422
encounter,meet or come across something or someone unexpectedly,encounter1,encounter1_1,the police encountered the robbery ,42.0,47.96452331542969
encounter,"experience or undergo something, especially an unpleasant or challenging situation",encounter2,encounter2_1,the youngest encountered the most ,42.0,64.5810775756836
encounter,"come into contact with something or someone, often with the implication of a physical or sensory experience",encounter3,encounter3_1,the hikers encountered the bear ,42.0,43.94756317138672
encounter,deal with or solve a problem or challenge,encounter4,encounter4_1,the company encountered the issue ,42.0,46.78779983520508
fetch,to go and bring back something often something that is located at a distance or in a different place,fetch1,fetch1_1,the dog fetched the stick ,42.0,21.764976501464844
fight,the act of fighting against someone or something,fight1,fight1_1,the fightagainstinjusticeisneverendingandthereforeitremainsatopriorityforusallthetimeuntilthisworldbecomesaf,42.0,86.21162414550781
fire,to dismiss or release someone from a job or position,fire1,fire1_1,the company fired the worker ,42.0,26.170406341552734
fold,fold (something) in a specific way,fold1,fold1_1,the teacher folded the origami ,42.0,29.47861099243164
fold,fold (something) over,fold2,fold2_1,the folded folded the paper ,42.0,46.17618942260742
fold,fold (something) together,fold3,fold3_1,the two folded the blanket ,42.0,45.14139175415039
fold,fold (something) up,fold4,fold4_1,the book folded the paperbacks ,42.0,42.18742752075195
fold,fold (something) over on itself,fold5,fold5_1,the paper folded the page ,42.0,33.80564498901367
grab,to take hold of something firmly often with ones hands or arms,grab1,grab1_1,the thief grabbed the womanasapurseandranawayfromthesceneoftherobberyasthepolicewerearriv,42.0,67.77064514160156
hack,to manipulate or control something using a computer or other digital technology,hack1,hack1_1,the hacker hacked the phonebook ,42.0,35.70720672607422
hack,to bypass security measures or gain unauthorized access to a system or network,hack2,hack2_1,the hacker hacked the website ,42.0,41.76741027832031
hack,"to modify or customize something, often in a creative or unconventional way",hack3,hack3_1,the hacker hacked the operating ,42.0,46.51661682128906
hack,to solve a problem or challenge in an innovative or outside-the-box way,hack4,hack4_1,the team hacked the system ,42.0,42.15309143066406
hack,"to experiment or tinker with something, often in a playful or exploratory manner",hack5,hack5_1,the kids hacked the codebase ,42.0,69.43798828125
hit,strike or collide with something,hit1,hit1_1,the ball hit the wall ,42.0,19.458843231201172
hit,reach or affect something,hit2,hit2_1,the weather hit the crops ,42.0,29.167163848876953
hit,play a musical note,hit3,hit3_1,the piano hit the notes ,42.0,35.92840576171875
hit,be popular or successful,hit4,hit4_1,the new hit the airwaves ,42.0,62.90604019165039
hit,use violence or force,hit5,hit5_1,the police hit the rioters ,42.0,27.310415267944336
hit,cause a reaction or response,hit6,hit6_1,the news hit the publicistespeciallyhardbecauseitwasabouttheirfieldandtheyreallyhopedthatnoonewouldreaditbuteveryone,42.0,96.53068542480469
hit,fulfill a requirement or expectation,hit7,hit7_1,the company hit the targeted ,42.0,45.71288299560547
insult,to hurt or offend someone with a word or action intentionally or unintentionally,insult1,insult1_1,the man insulted the woman ,42.0,25.254596710205078
kick,to strike or forcefully push something with ones foot,kick1,kick1_1,the boy kicked the ball ,42.0,21.684057235717773
kill,cause death,kill1,kill1_1,the man killed the rat ,42.0,26.39447021484375
kill,end or terminate,kill2,kill2_1,the war killed the livesof ,42.0,50.982460021972656
kill,remove or destroy,kill3,kill3_1,the virus killed the computer ,42.0,42.7194709777832
kill,ruin or spoil,kill4,kill4_1,the newcomer killed the movie ,42.0,35.403465270996094
know,recognize or be familiar with,know1,know1_1,the wording knew the answer ,42.0,80.40440368652344
know,be aware of,know2,know2_1,the wording knew the facts ,42.0,66.93659973144531
know,understand or comprehend,know3,know3_1,the wording knew the meaning ,42.0,78.64283752441406
know,have knowledge of,know4,know4_1,the teacher knew the answers ,42.0,29.401885986328125
know,be acquainted with,know5,know5_1,the man knew the mayoralcandidate ,42.0,57.91448211669922
know,be conscious of,know6,know6_1,the dog knew the room ,42.0,44.36211395263672
launch,start or begin something,launch1,launch1_1,the project launched the careersofmanyactorsanddirectorsinvolvedinthefilmbutnotthemostfamousones ,42.0,85.59951782226562
launch,set in motion or put into action,launch2,launch2_1,the plan launched the investigation ,42.0,32.14282989501953
launch,send or propel something forward,launch3,launch3_1,the boat launched the kayak ,42.0,38.070762634277344
launch,begin an attack or offensive,launch4,launch4_1,the warplanes launched the missiles ,42.0,44.49336624145508
launch,launch a legal action,launch5,launch5_1,the company launched the lawsuit ,42.0,28.790435791015625
mail,to send something typically a letter or package through the postal service,mail1,mail1_1,the mailman mailed the letter ,42.0,25.856884002685547
meet,encounter face-to-face,meet1,meet1_1,the two met the presidentially ,42.0,63.121055603027344
meet,become acquainted with,meet2,meet2_1,the two met the daybreakers ,43.0,47.3782958984375
meet,satisfy a condition or requirement,meet3,meet3_1,the newcomer met the criteriaforbeingacceptedasamemberofthespeakergroup ,42.0,68.5055923461914
meet,experience or undergo something,meet4,meet4_1,the two met the same ,42.0,45.798095703125
meet,talk or communicate with someone,meet5,meet5_1,the two met the nightclub ,42.0,43.96586227416992
meet,have a meeting or appointment,meet6,meet6_1,the two met the followingday ,42.0,41.643898010253906
murder,to kill someone in a deliberate and premeditated way often with malice aforethought,murder1,murder1_1,the murderer murdered the victim ,42.0,27.64443016052246
pass,transfer (physical object or information),pass1,pass1_1,the waitress passed the menu ,42.0,25.056076049804688
pass,move past (physical location or time),pass2,pass2_1,the car passed the bicycle ,42.0,25.458097457885742
pass,complete successfully (test or challenge),pass3,pass3_1,the student passed the test ,42.0,23.121135711669922
pass,survive or endure (difficult situation),pass4,pass4_1,the company passed the recessionary ,42.0,46.63306427001953
pass,transfer ownership or responsibility (rights or property),pass5,pass5_1,the car passed the man ,42.0,60.9321403503418
phone,to phone someone means to contact them by phone to call them on the phone,phone1,phone1_1,the police phoned the family ,42.0,29.85879135131836
pinch,to squeeze or grasp something tightly between ones fingers or thumb and a finger or thumb board,pinch1,pinch1_1,the man pinched the bridgekeeper ,42.0,53.59534454345703
pitch,to propose or suggest an idea or plan to someone,pitch1,pitch1_1,the boss pitched the idea ,42.0,27.58708953857422
pitch,"to throw or hurl something, especially a ball or other object",pitch2,pitch2_1,the pitcher pitched the baseball ,42.0,34.89881896972656
pitch,"to set or adjust the tone or pitch of something, such as a musical instrument or a machine",pitch3,pitch3_1,the musician pitched the guitar ,42.0,27.557960510253906
pitch,"to place or position something at a certain angle or height, such as a tent or a camping hammock",pitch4,pitch4_1,the campers pitched the tent ,42.0,27.095237731933594
pitch,"to sell or offer something, especially a product or service",pitch5,pitch5_1,the salesperson pitched the idea ,42.0,39.81468200683594
pitch,"to test the depth or soundness of something, such as a well or a mine shaft",pitch6,pitch6_1,the miners pitched the wells ,42.0,42.29231643676758
pitch,"to tilt or slant something, such as a surface or a line",pitch7,pitch7_1,the pitchednesses pitched the pitcher ,42.0,107.00843048095703
pitch,"to move or travel at a certain speed or angle, especially through the air",pitch8,pitch8_1,the car pitched the ballerina ,42.0,80.15501403808594
place,to put or set something in a particular location or position,place1,place1_1,the teacher placed the student ,42.0,40.91888427734375
post,place or position something,post1,post1_1,the postman posted the letterboxes ,42.0,36.738487243652344
post,send or transmit information,post2,post2_1,the company posted the newest ,42.0,69.0711669921875
post,publish or make available,post3,post3_1,the company posted the report ,42.0,65.85237884521484
post,assign or allocate,post4,post4_1,the teacher posted the students ,42.0,38.224449157714844
post,place under surveillance,post5,post5_1,the police posted the suspects ,42.0,31.658456802368164
push,to apply force to something to move it or keep it moving,push1,push1_1,the wind pushed the doorbell ,42.0,32.27659606933594
push,to urge or encourage someone to do something,push2,push2_1,the teacher pushed the students ,42.0,37.19513702392578
push,to promote or advocate for something,push3,push3_1,the government pushed the bill ,42.0,30.6099853515625
push,to introduce or present something to someone,push4,push4_1,the president pushed the idea ,42.0,29.9154109954834
push,to communicate or transmit information to someone,push5,push5_1,the police pushed the warning ,42.0,43.2944221496582
reach,physical reach,reach1,reach1_1,the ball reached the player ,42.0,38.658607482910156
reach,metaphorical reach,reach2,reach2_1,the film reached the hearts ,42.0,44.104732513427734
reach,cognitive reach,reach3,reach3_1,the child reached the stage ,42.0,42.23892593383789
reach,emotional reach,reach4,reach4_1,the movie reached the audience ,42.0,28.611236572265625
reach,physical distance,reach5,reach5_1,the car reached the bridge ,42.0,39.983680725097656
recall,bring to mind or remember,recall1,recall1_1,the sight recalled the vacationing ,42.0,63.260353088378906
recall,regain consciousness or control,recall2,recall2_1,the patient recalled the painfulnessofhisaccidentalinjuryashecamebacktoperceptionandawarenessoftheworld,42.0,84.27520751953125
recall,retrieve or regain possession of something,recall3,recall3_1,the word recalled the name ,42.0,63.983341217041016
recall,withdraw or take back something,recall4,recall4_1,the company recalled the product ,42.0,27.036693572998047
recall,restore or revive a memory or skill,recall5,recall5_1,the book recalled the events ,42.0,48.175621032714844
remove,to take something away or to take something out of a place,remove1,remove1_1,the verb removed the chairs ,42.0,46.80806350708008
roll,to cause something to move or rotate by turning or rotating it oneself,roll1,roll1_1,the child rolled the ball ,42.0,24.403141021728516
sack,to force someone to leave their job or position often due to poor performance or misconduct,sack1,sack1_1,the company sacked the managerialscientistwhohadbeenintheorganizationfortwodecadesbecauseofhispoormanagementskills,42.0,77.78396606445312
save,store or preserve something for future use,save1,save1_1,the library saved the manuscripts ,42.0,45.19539260864258
save,prevent something from harm or danger,save2,save2_1,the firemen saved the building ,42.0,27.73921012878418
save,spend less than one expects to spend,save3,save3_1,the government saved the airline ,42.0,47.29310607910156
save,preserve or maintain something in its current state,save4,save4_1,the government saved the endangered ,42.0,47.30119323730469
save,convert or transform something,save5,save5_1,the new saved the old ,42.0,62.67643737792969
see,perceive with the eyes,see1,see1_1,the boy saw the tree ,42.0,26.838138580322266
see,understand or comprehend,see2,see2_1,the teacher saw the boyishnesssuspiciousnessabsurditycriminalityofnatureofthetaskandrefusedtoparticipate,42.0,101.25431823730469
see,detect or notice,see3,see3_1,the police saw the crime ,42.0,28.789470672607422
see,envision or imagine,see4,see4_1,the wording saw the end ,42.0,70.45350646972656
see,observe or witness,see5,see5_1,the teacher saw the students ,42.0,28.193662643432617
sense,perceive,sense1,sense1_1,the cat sensed the danger ,42.0,26.80279541015625
sense,understand,sense2,sense2_1,the wording sensed the meaning ,42.0,50.77580261230469
sense,make sense,sense3,sense3_1,the statement sensed the speaker ,42.0,51.422569274902344
sense,have a sense of,sense4,sense4_1,the dog sensed the cat ,42.0,43.2345085144043
sense,be sensible,sense5,sense5_1,the boy sensed the danger ,42.0,30.866085052490234
set,place or locate,set1,set1_1,the cat set the mousepad ,42.0,49.11845779418945
set,arrange or organize,set2,set2_1,the teacher set the tableau ,42.0,43.24603271484375
set,determine or fix,set3,set3_1,the time set the stagecoaches ,42.0,61.085784912109375
set,put into a particular state or condition,set4,set4_1,the sun set the skyline ,42.0,39.5257682800293
set,assign or allocate,set5,set5_1,the teacher set the classroom ,42.0,40.28843688964844
shape,to give it a particular form or figure to mold or fashion it into a specific shape or design,shape1,shape1_1,the sculptor shaped the clay ,42.0,24.551313400268555
shoot,shoot (photography) - to take a photograph using a camera.,shoot1,shoot1_1,the photographer shot the wedding ,42.0,24.538921356201172
shoot,shoot (video) - to record a video using a camera or other recording device.,shoot2,shoot2_1,the filming shot the scene ,42.0,51.195953369140625
shoot,"shoot (firearm) - to discharge a firearm, such as a gun or a rifle.",shoot3,shoot3_1,the police shot the bankrobber ,42.0,30.03067398071289
shoot,shoot (projectile) - to launch or propel something using a device such as a catapult or a slingshot.,shoot4,shoot4_1,the catapult shot the rockets ,42.0,41.75528335571289
shoot,shoot (computer) - to create or record a video game or other digital content using a computer.,shoot5,shoot5_1,the gameplay shot the video ,42.0,51.96067810058594
shoot,"shoot (speech) - to deliver a speech or presentation, especially in a public setting.",shoot6,shoot6_1,the speaker shot the speecheshepherdedheraldeddischargepronouncedproclaimedreadoutvoicedutteredexpressedblurt,42.0,93.69974517822266
shoot,"shoot (rapidly) - to move quickly or rapidly, often in a sudden or unexpected manner.",shoot7,shoot7_1,the bullet shot the doorway ,42.0,38.43455505371094
shoot,"shoot (acquire) - to obtain or gather something, often quickly or suddenly.",shoot8,shoot8_1,the boy shot the ball ,42.0,28.325515747070312
shove,push or force something or someone into a place or position using physical force.,shove1,shove1_1,the man shoved the dog ,42.0,30.022872924804688
shove,"force someone to do something they do not want to do, often using physical force or coercion.",shove2,shove2_1,the boss shoved the newest ,42.0,47.87178039550781
shove,"insert or introduce something into a space or situation, often with a sense of force or urgency.",shove3,shove3_1,the manager shoved the newcomer ,42.0,45.405479431152344
shove,urge or encourage someone to do something with vigor or enthusiasm.,shove4,shove4_1,the coach shoved the players ,42.0,37.600341796875
shove,move something or someone out of the way using physical force.,shove5,shove5_1,the man shoved the old ,42.0,32.91509246826172
slap,to strike someone with an open hand often with a loud noise and a bit of force,slap1,slap1_1,the man slapped the child ,42.0,25.862930297851562
stab,to pierce or penetrate something with a sharp object such as a knife or a sword,stab1,stab1_1,the attacker stabbed the victim ,42.0,36.01728439331055
stretch,to extend or elongate something such as a piece of fabric or a persons limbs by pulling or drawing it in various directions,stretch1,stretch1_1,the children stretched the stringyliciousnessesuntiltheybroke ,42.0,65.03340911865234
toss,to throw or hurl something carelessly or casually often with a sense of playfulness or indifference,toss1,toss1_1,the boy tossed the ball ,42.0,25.581912994384766
understand,comprehend,understand1,understand1_1,the teacher understood the problematicnessesoftheirworkandencouragedthemtoexpressthemselvesfreelyinordertoimpro,42.0,86.71623992919922
understand,interpret,understand2,understand2_1,the computer understood the user ,42.0,46.08658218383789
understand,appreciate,understand3,understand3_1,the audience understood the irony ,42.0,29.53427505493164
understand,embrace,understand4,understand4_1,the newest understood the needlessness ,42.0,75.40581512451172
understand,penetrate,understand5,understand5_1,the idea understood the speaker ,42.0,53.422447204589844
understand,clarify,understand6,understand6_1,the teacher understood the problematicnesses ,42.0,58.81041717529297
write,to record or put something in written form,write1,write1_1,the teacher wrote the letterboarder ,42.0,54.377906799316406
abuse,physical abuse,abuse1,abuse1_2,the man abused the woman ,43.0,25.32795524597168
abuse,emotional abuse,abuse2,abuse2_2,the mother abused the child ,43.0,27.178773880004883
abuse,sexual abuse,abuse3,abuse3_2,the man abused the girl ,44.0,25.623558044433594
abuse,financial abuse,abuse4,abuse4_2,the company abused the taxpayers ,43.0,46.805091857910156
abuse,substance abuse,abuse5,abuse5_2,the drug abused the users ,43.0,44.39634704589844
abuse,power abuse,abuse6,abuse6_2,the police abused the powers ,43.0,32.05561828613281
allow,to give permission or approval for something to happen or be done,allow1,allow1_2,the teacher allowed the students ,43.0,37.63644790649414
approve,to endorse or support something,approve1,approve1_2,the board approved the newest ,43.0,46.26310348510742
approve,to officially sanction or ratify something,approve2,approve2_2,the council approved the newest ,43.0,46.55088806152344
approve,to be satisfied with something,approve3,approve3_2,the teacher approved the studentessay ,43.0,35.7907829284668
approve,to accept or ratify a decision or action,approve4,approve4_2,the committee approved the proposal ,44.0,23.8979549407959
beat,defeat,beat1,beat1_2,the team beat the other ,43.0,35.022972106933594
beat,conquer,beat2,beat2_2,the team beat the opponent ,44.0,33.82364273071289
beat,overpower,beat3,beat3_2,the police beat the rioters ,43.0,24.68543243408203
beat,exhaust,beat4,beat4_2,the marathon beat the runner ,43.0,28.26967430114746
beat,intimidate,beat5,beat5_2,the bully beat the newcomer ,43.0,31.252538681030273
beat,physically harm,beat6,beat6_2,the man beat the woman ,43.0,23.7847900390625
belt,fasten,belt1,belt1_2,the belt belted the dresser ,43.0,44.965633392333984
belt,strike,belt2,belt2_2,the boxer belted the other ,43.0,35.94007110595703
belt,surround,belt3,belt3_2,the coastline belted the city ,43.0,33.137264251708984
belt,win,belt4,belt4_2,the team belted the championship ,43.0,23.730451583862305
belt,tighten,belt5,belt5_2,the belt belted the pants ,43.0,36.70457458496094
box,to pack or contain something in a box,box1,box1_2,the boxed boxed the boxed ,43.0,50.3686637878418
break,to shatter or shake apart,break1,break1_2,the glass broke the glasses ,44.0,59.911258697509766
break,to cause to separate or divide,break2,break2_2,the wind broke the waves ,43.0,23.983354568481445
break,to interrupt or disrupt,break3,break3_2,the meeting broke the silence ,43.0,45.083045959472656
break,to exhaust or deplete,break4,break4_2,the budget broke the bankrolls ,43.0,45.97740936279297
break,to change or alter,break5,break5_2,the law broke the monopoly ,43.0,30.974422454833984
break,to violate or disobey,break6,break6_2,the lawbreaker broke the law ,43.0,26.57703399658203
build,construct,build1,build1_2,the team built the house ,45.0,40.364463806152344
build,develop,build2,build2_2,the company built the newest ,43.0,47.02254867553711
build,establish,build3,build3_2,the company built the factory ,43.0,40.74321365356445
build,improve,build4,build4_2,the company built the productivity ,43.0,49.702701568603516
build,create,build5,build5_2,the teacher built the classroom ,45.0,32.50357437133789
burn,consume or destroy by fire,burn1,burn1_2,the house burned the family ,43.0,47.38121795654297
burn,cause to feel intense heat or pain,burn2,burn2_2,the sun burned the skin ,43.0,40.94979476928711
burn,char or scorch the surface of something,burn3,burn3_2,the sun burned the grasses ,43.0,31.737760543823242
burn,use up or exhaust a resource,burn4,burn4_2,the coal burned the furnace ,43.0,46.308135986328125
burn,"experience a strong emotion, such as anger or passion",burn5,burn5_2,the actor burned the stageboards ,43.0,43.526126861572266
burn,"move quickly and intensely, as if fueled by fire",burn6,burn6_2,the sun burned the grassyland ,44.0,46.03575134277344
burn,have a strong desire or craving,burn7,burn7_2,the smell burned the nostrils ,43.0,36.990211486816406
button,the act of pressing a button,button1,button1_2,the buttoning buttoned the jacket ,43.0,37.201820373535156
cast,to throw or project something,cast1,cast1_2,the actor cast the spellbindingly ,43.0,47.09553527832031
cast,to assign a role or part to someone,cast2,cast2_2,the director cast the lead ,43.0,35.21332550048828
cast,to vote or elect someone,cast3,cast3_2,the people cast the presidential ,43.0,32.59197235107422
cast,to shape or form something using a mold or a cast,cast4,cast4_2,the sculptor cast the statue ,43.0,36.960289001464844
cast,to predict or prophesy something,cast5,cast5_2,the weathercaster cast the next ,43.0,45.550960540771484
catch,seize or take hold of something physically,catch1,catch1_2,the ball caught the little ,45.0,35.53142166137695
catch,"identify or detect something, such as an error or a mistake",catch2,catch2_2,the computer caught the error ,43.0,25.312162399291992
catch,prevent or stop something from happening or continuing,catch3,catch3_2,the police caught the thief ,43.0,24.980749130249023
catch,"obtain or acquire something, such as a disease or an emotion",catch4,catch4_2,the virus caught the patient ,43.0,28.94103240966797
catch,"experience or undergo something, such as a feeling or a situation",catch5,catch5_2,the children caught the flu ,43.0,28.54529571533203
chip,the act of breaking or cracking something into small pieces especially a hard or brittle substance,chip1,chip1_2,the chippingofmasonrybricksisnotadifficulttaskinthehandsoftheexperiencedworkerbutwhenthetaskisundert,43.0,76.5680160522461
chop,to cut or slice something using a sharp instrument such as a knife or axe,chop1,chop1_2,the farmer chopped the vegetables ,45.0,42.254356384277344
chuck,to throw or hurl something away or out of ones hand or from a place,chuck1,chuck1_2,the boy chucked the ball ,43.0,25.408790588378906
clean,to remove dirt stains or impurities from a surface or object using a cleaning agent water or other means,clean1,clean1_2,the floor cleaned the rug ,43.0,34.82267761230469
clear,to remove something that is blocking or obscuring the view or understanding of something else,clear1,clear1_2,the fog cleared the way ,43.0,34.95047378540039
coat,to cover or layer something with a substance such as paint varnish or a protective coating,coat1,coat1_2,the walls coated the old ,43.0,60.08296585083008
cover,protect or shield,cover1,cover1_2,the umbrella covered the man ,43.0,29.031375885009766
cover,conceal or hide,cover2,cover2_2,the police covered the evidence ,43.0,29.39017105102539
cover,enclose or surround,cover3,cover3_2,the walls covered the room ,43.0,26.99135971069336
cover,touch or reach,cover4,cover4_2,the sun covered the sky ,43.0,23.822195053100586
cover,prevent or hinder,cover5,cover5_2,the rain covered the ground ,43.0,26.03514862060547
cover,provide for,cover6,cover6_2,the government covered the cost ,43.0,28.41500473022461
crash,"to collide violently, especially with a loud noise",crash1,crash1_2,the cars crashed the gatepost ,43.0,35.018348693847656
